0,6340179443359375
0,9788048267364502
1,4210450649261475
1,8867409229278564
2,5393471717834473
3,2231040000915527
3,8821520805358887
4,772397994995117
5,964148998260498
6,6225199699401855
--------

0,6170201301574707
0,9714739322662354
1,3835339546203613
1,9470629692077637
2,5531139373779297
3,296502113342285
4,191551923751831
4,820466995239258
5,716217041015625
6,779011011123657
--------

0,6325368881225586
1,0070300102233887
1,3755860328674316
1,9665720462799072
2,483613967895508
3,2023110389709473
3,913647174835205
4,660499811172485
5,7152159214019775
6,620146989822388
--------

0,6150197982788086
0,9630310535430908
1,4104881286621094
1,9304490089416504
2,5197691917419434
3,2325551509857178
3,9560749530792236
4,730079889297485
5,762517929077148
6,670293092727661
--------

0,6170189380645752
0,9855129718780518
1,390045166015625
1,9475078582763672
2,5185799598693848
3,1481099128723145
3,900609016418457
4,785733938217163
5,65169095993042
6,615607976913452
--------
